FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
20,14,0.234375,-0.250007,280.000000,0.109375,0.207031
20,15,0.281250,-0.250007,244.000000,0.140625,0.244141
20,16,0.140625,-0.125003,667.000000,0.048828,0.132812
20,17,0.187500,-0.125003,770.000000,0.058594,0.177734
20,18,0.234375,-0.125003,525.000000,0.080078,0.220703
20,19,0.281250,-0.125003,411.000000,0.123047,0.253906
20,20,0.140625,0.000000,337.000000,-0.003906,0.140625
20,21,0.187500,0.000000,402.000000,-0.017578,0.187500
20,22,0.234375,0.000000,238.000000,-0.037109,0.232422
20,23,0.234375,0.125003,297.000000,0.095703,0.214844
20,24,0.281250,0.125003,124.000000,0.220703,0.175781
20,25,0.281250,0.250007,61.000000,0.115234,0.257812
20,26,0.140625,-0.250007,290.000000,0.052734,0.130859
20,27,0.187500,-0.250007,329.000000,0.070312,0.173828
20,28,0.234375,-0.250007,229.000000,-0.021484,0.232422
20,29,0.140625,-0.125003,596.000000,-0.009766,0.140625
20,30,0.187500,-0.125003,699.000000,-0.017578,0.187500
20,31,0.234375,-0.125003,395.000000,0.183594,0.146484
21,1,0.140625,0.000000,168.000000,-0.017578,0.138672
21,2,0.187500,0.000000,245.000000,0.052734,0.179688
21,3,0.234375,0.000000,240.000000,0.080078,0.220703
21,4,0.140625,0.125003,129.000000,-0.031250,0.136719
21,5,0.187500,0.125003,133.000000,-0.041016,0.183594
21,6,0.187500,-0.500013,140.000000,0.140625,0.125000
21,7,0.234375,-0.500013,179.000000,0.175781,0.154297
21,8,0.187500,-0.375010,222.000000,0.128906,0.136719
